StuID,IsSucc,checkTime,ProofPath,checkinType,checkinResult,checkstartTime
201416920101,null,null,null,null,null,2017-07-11 19:58:19
201416920106,True,2017-07-11 19:58:19,adadadasdasdasdasd,random,normal,2017-07-11 19:58:19
201416920102,null,null,null,null,null,2017-07-11 19:58:19
201416920104,null,null,null,null,null,2017-07-11 19:58:19
201416920101,null,null,null,null,null,2017-07-11 19:58:11
201416920102,null,null,null,null,null,2017-07-11 19:58:11
201416920104,null,null,null,null,null,2017-07-11 19:58:11
201416920105,False,2017-07-11 19:58:11,asdxcxz,auto,Absence,2017-07-11 19:58:11
201416920106,True,2017-07-11 19:58:11,adadadasdasdasdasd,auto,normal,2017-07-11 19:58:11
201416920106,False,2017-07-11 19:58:32,adadadasdasdasdasd,random,Absence,2017-07-11 19:58:32
201416920102,null,null,null,null,null,2017-07-11 19:58:32
201416920101,null,null,null,null,null,2017-07-11 19:58:32
201416920104,null,null,null,null,null,2017-07-11 19:58:32
